Date,Close,MA_7,MA_30,MA_60,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2000-08-01,179.75,179.75,179.75,179.75,26.07,24.46125,47485.918,0.0,0.0
2000-08-02,180.5,180.125,180.125,180.125,26.09,24.404999,47373.176,0.0,0.0
2000-08-03,180.0,180.08333333333334,180.08333333333334,180.08333333333334,19.89,22.048746,41148.74,0.3,1.0
2000-08-04,178.75,179.75,179.75,179.75,17.9,22.507086,33301.656,0.6,3.0
2000-08-05,178.75,179.55,179.55,179.55,20.88,24.5925,28619.092,0.2,1.0
2000-08-06,178.75,179.41666666666666,179.41666666666666,179.41666666666666,21.89,24.604998,43464.895,5.6000004,4.0
2000-08-07,177.75,179.17857142857142,179.17857142857142,179.17857142857142,26.67,23.938334,47003.754,0.0,0.0
2000-08-08,179.5,179.14285714285714,179.21875,179.21875,24.28,27.477919,46434.375,0.70000005,2.0
2000-08-09,178.25,178.82142857142858,179.11111111111111,179.11111111111111,26.54,26.102919,46513.812,1.3,1.0
2000-08-10,177.25,178.42857142857142,178.925,178.925,26.68,23.769583,46610.703,0.0,0.0
2000-08-11,174.75,177.85714285714286,178.54545454545453,178.54545454545453,26.49,24.325834,46461.953,0.0,0.0
2000-08-12,174.75,177.28571428571428,178.22916666666666,178.22916666666666,24.53,25.569586,46383.22,0.0,0.0
2000-08-13,174.75,176.71428571428572,177.96153846153845,177.96153846153845,15.19,25.996668,27616.326,18.2,5.0
2000-08-14,175.75,176.42857142857142,177.80357142857142,177.80357142857142,24.7,26.417503,46123.094,1.9000001,4.0
2000-08-15,175.75,175.89285714285714,177.66666666666666,177.66666666666666,25.28,27.190416,46040.812,0.0,0.0
2000-08-16,178.5,175.92857142857142,177.71875,177.71875,23.01,21.865416,45957.367,0.0,0.0
2000-08-17,178.5,176.10714285714286,177.76470588235293,177.76470588235293,14.48,23.669584,29252.705,0.1,1.0
2000-08-18,177.5,176.5,177.75,177.75,21.41,19.648748,38846.652,0.0,0.0
2000-08-19,177.5,176.89285714285714,177.73684210526315,177.73684210526315,15.06,19.390419,31007.96,2.1000001,5.0
2000-08-20,177.5,177.28571428571428,177.725,177.725,16.27,19.752914,37908.406,0.2,1.0
